ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,timestamp
-1892.1422233751089,-1897.32782808874,-1962.192590498041,-1944.4006019116166,-14605.009806753375,1591.2206877733097,1539.342288892542,-10999.65107436789,1780400025.2504683
6250.754743904441,4437.424771478745,6121.226384785937,6130.971745368451,2181.3067413934164,2301.8720509853424,6340.541701381409,5221.188690804087,1780400025.2675576
-3768.638225631503,-3781.8704583490444,-3908.627201155091,-3874.0937559716413,-28200.927758327456,3170.147916096201,3066.435821823576,-21093.855332595747,1780400025.2705472
13538.295154368301,8934.931032053355,13222.196784281348,13303.646541076487,4330.695191704654,4674.3756144494555,13717.757310599962,10505.431652716596,1780400025.2745512
-3773.913237322955,-3786.4749177068375,-3912.7399221348674,-3877.9159042734987,-28204.660499651494,3179.58035225634,3075.912961472626,-21097.99040531998,1780400025.2785897
13874.465390976118,8831.017772080633,13652.378458068188,13635.815815426806,3981.672702035034,4695.967399593282,14054.77691349708,10354.087991009712,1780400025.2815883
-3771.0969175215864,-3784.329150239128,-3910.951782578443,-3876.418337394993,-28203.34174672863,3172.137221352723,3068.2910166133665,-21096.403431463652,1780400025.2876227
12810.522354903504,8917.273153933664,12514.51820308187,12573.057421810321,4417.73288461362,4629.940346472305,12989.358662290415,10491.238294987475,1780400025.2905653
-3771.7451181107904,-3784.597371172592,-3910.907079089532,-3876.038357739253,-28203.006470561802,3175.691148721117,3071.8672957262156,-21096.13521053019,1780400025.294593
14102.833164075992,8890.607522798482,13823.458710129109,13867.335184494876,4077.896961915131,4721.381333038966,14282.742355196759,10439.49400657344,1780400025.2976463
-3771.9015803219772,-3784.8432403616002,-3911.1305965340853,-3876.3065786727166,-28203.229988006355,3175.9593696545803,3072.2919788708664,-21096.403431463652,1780400025.3005488
13000.735700218165,8822.32294348752,12779.855761510822,12760.633261279258,4167.438050203091,4636.310593642067,13181.293091928137,10370.494171439906,1780400025.305586
-3769.4652401763487,-3782.697472893891,-3909.275401744295,-3874.741956560845,-28201.68771763894,3170.5725992408516,3066.8381532237713,-21094.70469888505,1780400025.309568
13525.956991428971,8927.890232549935,13209.948028319839,13291.241322903792,4327.364781780813,4672.185143492835,13705.508554638453,10505.789280627881,1780400025.3136215
-3772.1921529998963,-3784.8655921060554,-3910.996486067353,-3876.105412972619,-28203.05117405071,3177.3898812997204,3073.6107317937294,-21096.291672741376,1780400025.3175795
13878.533408466985,8822.971144076722,13655.84297845876,13640.12970210668,3982.7008822799785,4683.986864565238,14058.889634476858,10353.57390088724,1780400025.322616
-3770.0240337877317,-3783.3456734830947,-3910.0577128002305,-3875.4125088945043,-28202.470028694872,3170.81846842986,3067.0169671794138,-21095.37525121871,1780400025.3256032
12800.911104787721,8910.947610252812,12505.532801810838,12563.9155583281,4418.783416603019,4614.070607909037,12980.32855753047,10490.612446142728,1780400025.329736
-3769.0852605206087,-3781.8034031156785,-3908.336628477172,-3873.490258871348,-28200.39131646053,3172.8971806642035,3069.185086391579,-21093.542408173373,1780400025.3335204
14097.759318084636,8890.629874542938,13817.513146103996,13862.484855948074,4088.5363922758575,4710.138405577946,14277.757916183224,10439.15873040661,1780400025.337569
-3772.818001844645,-3785.580847928625,-3912.0917215456634,-3877.2900554287503,-28204.213464762386,3176.7416807105164,3072.9625312045255,-21097.342204730776,1780400025.3416138
13004.602552008933,8825.027504566611,12784.169648190697,12764.276595625472,4173.338910739292,4627.325192371034,13184.779964063164,10369.197770261499,1780400025.3456268
-3768.593522142592,-3781.7810513712234,-3908.5154424328143,-3873.9819972493647,-28201.039517049732,3169.3432532958095,3065.5194003009083,-21093.810629106836,1780400025.3488932
13514.57995350122,8930.013648273189,13197.520458402689,13279.81958148713,4340.284090075981,4668.787678335629,13693.975054499515,10505.766928883426,1780400025.3525317
-3771.1192692660416,-3783.524487438737,-3909.9906575668647,-3874.9878257498535,-28202.022993805767,3176.0487766324018,3072.3143306153215,-21095.218789007522,1780400025.357699
13885.75302192605,8828.134397045898,13660.93917619457,13647.572833010297,3987.5735625712355,4688.457213456299,14066.31041363602,10353.126865998134,1780400025.3614457
-3767.297120964184,-3780.596408915092,-3907.4425586989596,-3872.775003048778,-28199.877226338056,3168.136259095223,3064.3571095892326,-21092.84950409526,1780400025.365844
12797.983026264075,8911.640514330926,12504.19169714352,12560.831017593267,4419.3869137033125,4621.983125446216,12977.311072029004,10488.131402508188,1780400025.3689568
-3770.5157721657483,-3783.233914760818,-3909.9906575668647,-3874.943122260943,-28202.1571042725,3174.1488783537006,3070.4144323366204,-21095.1293820297,1780400025.3742213
14093.512486638128,8891.009854198677,13814.026273968968,13858.372134968298,4086.18945910805,4717.335667292556,14273.801657414635,10440.343372862742,1780400025.377346
-3768.370004698039,-3781.1552025264746,-3907.7331313768786,-3872.6855960709568,-28199.944281571425,3172.092517863812,3068.268664868911,-21092.98361456199,1780400025.381578
13014.638485269366,8825.496891200173,12794.049119239942,12774.558398074914,4161.850114089264,4635.952965730782,13195.285283957159,10367.230816749432,1780400025.3859315
-3768.682929120413,-3781.8481066045892,-3908.716608132912,-3873.803183293722,-28201.307737983196,3169.2985498068992,3065.497048556453,-21094.03414655139,1780400025.3884091
13505.125165596624,8928.471377905773,13190.211437965803,13270.72242149382,4331.902185905241,4676.87900982845,13685.168467184123,10506.973923084011,1780400025.3933632
-3772.4156704444495,-3784.7761851282344,-3911.331762234183,-3876.083061228164,-28203.431153706453,3177.322826066354,3073.6107317937294,-21096.492838441474,1780400025.3991065
13891.69858595116,8822.41235046534,13666.661222775128,13654.07719064679,3973.6037222866685,4692.480527458254,14073.194750928255,10354.445618920996,1780400025.4013712
-3768.0570802756647,-3781.110499037564,-3908.001352310342,-3873.132630960063,-28200.547778671717,3168.5832939843294,3064.848847967249,-21093.385945962185,1780400025.4054015
12789.176438948685,8907.371331139962,12497.262656362374,12552.806741333812,4407.853413564374,4621.111407412459,12969.62207193638,10487.751422852449,1780400025.408478
-3768.951150053877,-3781.624589160036,-3908.291924988261,-3873.0432239822417,-28200.61483390508,3172.2936835639102,3068.469830569009,-21093.542408173373,1780400025.412742
14089.042137747067,8890.831040243034,13809.265352399989,13854.59469015535,4081.6297032391676,4714.2958300466335,14270.15832306842,10440.544538562839,1780400025.4176297
-3770.046385532187,-3782.630417660525,-3909.320105233205,-3874.0043489938203,-28201.62066240557,3173.6124364867733,3069.855638725238,-21094.682347140595,1780400025.4216928
13024.00386619614,8824.625173166416,12802.29691294395,12784.415517379704,4156.016308786429,4636.042372708604,13205.388272450957,10367.029651049335,1780400025.4256737
-3766.425402930427,-3779.5011734367818,-3906.5484889207473,-3871.3891948925493,-28199.139618771034,3167.0633753613683,3063.395984577654,-21091.933082572592,1780400025.4298923
13490.015386344838,8926.19149997133,13175.503990114212,13256.104380620049,4334.226767328592,4672.118088259469,13671.332737366289,10508.538545195883,1780400025.432665
-3769.2193709873404,-3781.691644393402,-3908.1131110326187,-3872.6855960709568,-28200.39131646053,3174.2606370759772,3070.5708945478077,-21093.542408173373,1780400025.4368453
13897.353577298354,8820.512452186638,13672.249158888955,13660.089809905268,3972.0614519192522,4691.720568146774,14079.83321903148,10356.926662555536,1780400025.440858
-3763.9220075514327,-3777.0201298022425,-3903.9333348194764,-3868.90815125801,-28196.658575136495,3164.5152764934633,3060.758478731928,-21089.541445915875,1780400025.4459195
12784.571979590892,8902.878630504445,12493.127583638143,12548.381095931662,4406.378198430324,4620.82083473454,12965.755220145611,10487.483201918985,1780400025.4496367
-3765.17370524093,-3777.735385624813,-3904.3803697085823,-3869.0199099802867,-28196.949147814412,3168.493887006508,3064.692385756062,-21089.876722082703,1780400025.453889
14077.843913774957,8888.305293119585,13797.329520860854,13843.843501072348,4086.502383530424,4712.284173045656,14259.809465385613,10442.422085097085,1780400025.4581382
-3768.615873887047,-3781.401071715483,-3907.9342970769762,-3872.52913385977,-28200.346612971618,3172.5619044973737,3068.849810224749,-21093.430649451097,1780400025.460874
13032.095197688961,8821.808853365046,12810.902334559243,12792.86447678381,4150.048393016862,4630.812064506062,13213.747824877242,10363.632185892127,1780400025.4649432
-3768.7946878426897,-3782.004568815776,-3908.8060151107334,-3873.758479804812,-28201.575958916663,3169.6114742292734,3065.8323247232825,-21094.436477951585,1780400025.4688632
13482.885179863595,8939.066104777588,13167.256196410204,13248.661249716431,4346.475523290101,4666.016062023171,13663.107295406735,10504.783452127393,1780400025.472912
-3770.918103565944,-3783.36802522755,-3909.7894918667666,-3874.4737356273818,-28202.06769729468,3175.91466616567,3072.113164915224,-21095.330547729798,1780400025.4778736
13901.823926189414,8829.251984268663,13676.27247289091,13665.208359385535,3972.195562385984,4686.825536111061,14084.415326644817,10354.356211943175,1780400025.481887
-3770.4040134434717,-3783.636246161014,-3910.39298896706,-3875.47956412787,-28203.274691495266,3171.109041107779,3067.3298916017884,-21096.112858785735,1780400025.4859307
12780.302796399928,8911.752273053202,12489.730118480937,12544.134264485154,4406.557012385966,4618.0268666776265,12960.971946832175,10483.616350128217,1780400025.4890797
-3774.1591065119633,-3787.0560630626755,-3913.499881446348,-3878.4746978848816,-28206.068659552177,3177.613398744273,3073.8789527271933,-21099.1303442872,1780400025.4929385
14073.30650965053,8896.32956937904,13792.054509169402,13838.993172525546,4095.7113022460107,4713.111187590503,14254.221529271786,10442.712657775004,1780400025.4969008
-3774.717900123346,-3787.6372084185136,-3914.0363233132753,-3879.033491496264,-28206.515694441285,3178.5745237558513,3074.75067076095,-21099.689137898582,1780400025.5019045
13041.125302448905,8826.726237145214,12820.938267819676,12801.291084443461,4151.9035878066525,4638.3446023875,13221.928563347885,10364.123924270145,1780400025.5059516
-3773.8685338340447,-3787.1007665515863,-3913.9245645909987,-3879.167601962996,-28206.76156363029,3174.327692309343,3070.526191058897,-21099.66678615413,1780400025.5100138
13466.635461644586,8935.28865996464,13151.811140991585,13231.964496608318,4352.778715226497,4672.408660937388,13646.611707998718,10508.024455073411,1780400025.5139787
-3777.981254813821,-3790.6770456644354,-3917.1208640481073,-3881.983921764365,-28209.555531687205,3182.776651713449,3079.042205696369,-21102.661919911137,1780400025.51685
13905.08728087989,8825.921574344824,13677.94885372506,13667.197664642057,3972.5978937861796,4694.022797825671,14086.695204579259,10358.938319556513,1780400025.5209043
-3770.895751821489,-3784.4185572169495,-3911.287058745272,-3876.3065786727166,-28204.124057784567,3171.5784277413404,3067.888685213171,-21096.872818097214,1780400025.5249493
12771.205636406617,8903.012740971177,12481.23645558792,12534.075979480265,4402.466643150645,4621.3125731125565,12951.628917649856,10485.851524573747,1780400025.5288837
-3774.8967140789887,-3787.905429351977,-3914.550413435747,-3879.458174640915,-28207.18624677494,3178.10513712229,3074.393042849665,-21100.13617278769,1780400025.5341308
14063.382335112374,8894.004987955688,13781.683299742139,13828.68901833165,4094.7501772344326,4713.424112012877,14244.252651244718,10443.584375808761,1780400025.537968
-3777.109536780064,-3790.073548564142,-3916.6291256700906,-3881.492183386348,-28209.24260726483,3180.429718545642,3076.7623277619277,-21102.30429199985,1780400025.5419931
13047.96493625223,8832.716504659236,12828.58256442339,12808.287180457972,4152.8423610737755,4637.986974476215,13228.56703145111,10361.397011446597,1780400025.545003
-3773.332091967117,-3786.6090281735696,-3913.611640168624,-3878.698215329435,-28206.44863920792,3173.34421555331,3069.6768247695954,-21099.309158242842,1780400025.5517385
13453.537339393777,8942.016535045688,13138.17657687385,13219.358112735525,4354.969186183118,4671.335777203533,13633.178309581079,10506.705702150548,1780400025.5547044
-3776.6177984020474,-3789.3359409971167,-3915.8244628697,-3880.620465352591,-28208.281482253253,3181.144974368212,3077.365824862221,-21101.52198094392,1780400025.5577602
13911.65869374975,8840.60667045196,13684.207342172545,13674.70785077904,3979.7504520118778,4691.675864657863,14092.819582560014,10356.636089877617,1780400025.5619905
-3772.7956501001895,-3786.139641540008,-3913.0304948127864,-3878.295883929239,-28206.046307807723,3173.00893938648,3069.3415486027657,-21098.862123353734,1780400025.56578
12768.456371838614,8910.679389319348,12479.582426498226,12532.71252306849,4406.646419363788,4615.0317329206155,12949.438446693237,10480.576512882295,1780400025.5700536
-3776.6401501465025,-3789.492403208304,-3916.137387292074,-3881.1792589639736,-28208.974386331367,3179.0886138783235,3075.376519605699,-21101.90196059966,1780400025.5728831
14058.487303076661,8900.017607214166,13776.028308394947,13824.822166540882,4104.2943721168485,4705.757463664707,14240.095226776031,10443.137340919655,1780400025.5768852
