ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,timestamp
-1896.0537786547875,-1902.200508379997,-1965.8582765887115,-1948.28980544684,-14802.867448671754,1595.4451674753627,1543.6114720835058,-11098.669302304901,1780400539.1153798
5502.820670940956,4534.878377303884,5355.142695324743,5383.8646869498125,2052.3148241418394,2280.794355963988,5590.595971416948,5083.233724025932,1780400539.1323814
-3774.7402518678014,-3785.625551417536,-3915.86916635861,-3881.492183386348,-28612.646891194214,3173.143049853212,3069.3862520916764,-21227.183488271654,1780400539.135497
12300.43319468894,9067.253359228773,11990.950940960758,12066.209264541778,4128.367200895214,4545.696621620253,12475.80498168528,10273.956987137437,1780400539.1394072
-3775.433155945916,-3785.849068862089,-3915.6680006585125,-3880.9557415194204,-28612.08809758283,3177.523991766452,3073.744842260461,-21226.892915593733,1780400539.142382
12167.395611690952,8941.837721090045,11949.577861973985,11928.701332652729,3989.9428474834976,4532.553795880532,12344.890814410546,10044.784551237173,1780400539.1453772
-3773.17562975593,-3784.2844467502177,-3914.7962826247553,-3880.329892674672,-28611.618710949268,3170.013805629469,3066.167600890112,-21226.24471500453,1780400539.149578
11409.44795721149,9079.345652979095,11100.323331394593,11173.458239252359,4125.8414537717645,4560.627586916397,11584.909151185651,10240.049390798735,1780400539.153216
-3777.422461202438,-3788.0171880742537,-3917.9925820818644,-3883.0568054982195,-28614.502085984004,3178.462765033575,3074.6389120386734,-21229.418662717184,1780400539.1572595
12678.378841683727,8998.477041539794,12413.22009721042,12442.880862102613,4061.3343192737484,4537.001793027138,12855.203492069662,10159.471352037353,1780400539.1613376
-3776.774260613234,-3787.7042636518795,-3917.724361148401,-3882.967398520398,-28614.636196450734,3176.316997565865,3072.4484410820537,-21229.44101446164,1780400539.166325
11212.12675716004,8994.386672304472,10965.519960584637,10972.69487055479,4031.6288508926455,4550.3457844669565,11388.593779634688,10044.248109370244,1780400539.1703439
-3777.623626902536,-3788.5759816856366,-3918.752541393345,-3884.174392720985,-28615.84319065132,3175.646445232206,3071.84494398176,-21230.558601684406,1780400539.17334
12179.59966416355,9066.560455150659,11870.58679706893,11945.196920060745,4126.467302616514,4547.127133265392,12354.993802904344,10273.688766203972,1780400539.177333
-3782.8986385939884,-3793.3816067435273,-3923.1111315621297,-3888.19770672294,-28619.799449419912,3184.453032547597,3080.785641763883,-21234.91719185319,1780400539.181344
12064.756401152183,8942.664735634891,11845.441084556709,11825.749197691584,3990.9263242395314,4530.3856766683675,12241.80456898267,10035.218004610302,1780400539.185372
-3776.9530745688767,-3788.173650285441,-3918.3725617376044,-3883.928523531976,-28615.753783673503,3173.5006777644967,3069.6768247695954,-21230.469194706584,1780400539.189349
11308.418072273502,9081.357309980072,10999.159335989874,11071.735450236256,4125.684991560578,4555.263168247124,11483.387527869645,10209.203983450412,1780400539.1934376
-3778.8753245920334,-3789.3582927415723,-3919.043114071264,-3884.3532066766275,-28616.111411584785,3179.6027040007957,3075.8012027503496,-21231.273857506974,1780400539.1982934
12600.505364001438,9005.741358487769,12333.111445082599,12364.202721619931,4063.7930111638325,4530.609194112921,12776.570055075892,10164.232273606334,1780400539.2013257
