ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,timestamp
4.9999999999999996e-06,3.7e-05,4e-06,1.7e-05,-4e-06,-6e-06,1.4999999999999999e-05,9e-06,0.0
-4e-06,2.4999999999999998e-05,-8e-06,-2e-06,-1.6e-05,-2.6e-05,-3e-06,-4e-06,0.00625
-6e-06,1.9999999999999998e-05,-1.3e-05,-1.4e-05,-1.7e-05,-2.9999999999999997e-05,-4.9999999999999996e-06,-8e-06,0.0125
-6e-06,8e-06,-8e-06,-2.4999999999999998e-05,-9.999999999999999e-06,-2.9e-05,0.0,-3e-06,0.01875
1e-06,-6e-06,-4.9999999999999996e-06,-2.9e-05,-1e-06,-1.6e-05,4.9999999999999996e-06,-3e-06,0.025
-1.6e-05,-2.2e-05,-1.8999999999999998e-05,-2.7e-05,-6e-06,-9.999999999999999e-06,-4e-06,-1.9999999999999998e-05,0.03125
-2.3e-05,-2.1e-05,-2.2e-05,-1.8e-05,-4e-06,3e-06,-1.2e-05,-2.9999999999999997e-05,0.0375
-2.3e-05,-1.7e-05,-1.4999999999999999e-05,-6e-06,9e-06,2.4e-05,-7e-06,-3.2e-05,0.04375
-3.7e-05,-1.6e-05,-1.4999999999999999e-05,1e-06,1.7e-05,3.2e-05,-1e-06,-3.4e-05,0.05
-1.9999999999999998e-05,-9.999999999999999e-06,4e-06,9e-06,3.1e-05,3.6e-05,1.4999999999999999e-05,-1.6e-05,0.05625
-4e-06,-9e-06,1.1e-05,4.9999999999999996e-06,2.3e-05,2.6e-05,1.4e-05,-8e-06,0.0625
-6e-06,-9.999999999999999e-06,2e-06,-4.9999999999999996e-06,-4e-06,1e-06,-1.1e-05,-1.4e-05,0.06875
-2e-06,-1.6e-05,-4.9999999999999996e-06,-1.4e-05,-2.4999999999999998e-05,-2.4e-05,-3.1e-05,-1.8e-05,0.075
-1.2e-05,-8e-06,-1.9999999999999998e-05,-9.999999999999999e-06,-4.1e-05,-2.7e-05,-2.9999999999999997e-05,-1.4999999999999999e-05,0.08125
-2e-06,1.4e-05,-1.9999999999999998e-05,4.9999999999999996e-06,-3.9999999999999996e-05,-1.4999999999999999e-05,-9.999999999999999e-06,7e-06,0.0875
8e-06,3.2999999999999996e-05,-2.1e-05,1.8999999999999998e-05,-3.5e-05,2e-06,6e-06,2.4e-05,0.09375
2.4e-05,5.9e-05,4.9999999999999996e-06,4.1e-05,-2e-06,2.4e-05,3.6e-05,4.7e-05,0.1
5.2e-05,6.599999999999999e-05,3.4e-05,4.2e-05,2.4e-05,2.9e-05,5.4999999999999995e-05,6.7e-05,0.10625
5.8e-05,5.4e-05,4.4999999999999996e-05,3.7999999999999995e-05,4.2e-05,3.2999999999999996e-05,6.5e-05,6.5e-05,0.1125
7.599999999999999e-05,5.9e-05,6.599999999999999e-05,4.4e-05,5.9999999999999995e-05,4.1e-05,8.099999999999999e-05,7.599999999999999e-05,0.11875
5.3e-05,3.4e-05,3.9e-05,2.4e-05,4.1e-05,2.3e-05,5.8e-05,4.6e-05,0.125
2.9999999999999997e-05,6e-06,2.9e-05,7e-06,3.6e-05,1.6e-05,3.4e-05,1.4999999999999999e-05,0.13125
4.4999999999999996e-05,1.4999999999999999e-05,4.6e-05,2.2e-05,4.9e-05,2.9e-05,3.9e-05,2.1e-05,0.1375
2.4e-05,3e-06,2.2e-05,8e-06,2.6e-05,1.6e-05,2.3e-05,7e-06,0.14375
-8e-06,-2.1e-05,4e-06,-9.999999999999999e-06,1.4e-05,3e-06,8e-06,-1.4e-05,0.15
3e-06,-2.9e-05,1.4e-05,-1.1e-05,1.8999999999999998e-05,3e-06,9.999999999999999e-06,-9e-06,0.15625
-9e-06,-3.9999999999999996e-05,-3e-06,-1.9999999999999998e-05,-2e-06,-6e-06,-6e-06,-1.6e-05,0.1625
-3.1e-05,-3.9999999999999996e-05,-2.3e-05,-2.3e-05,-1.6e-05,-1.3e-05,-2.1e-05,-3.1e-05,0.16875
-1.3e-05,-2.1e-05,-9e-06,-7e-06,-4e-06,1e-06,-6e-06,-2.3e-05,0.175
4e-06,-3e-06,4.9999999999999996e-06,8e-06,8e-06,1.2e-05,1.7e-05,-4e-06,0.18125
1.4e-05,1.9999999999999998e-05,1.6e-05,1.8e-05,2.3e-05,1.4999999999999999e-05,3.6e-05,1.6e-05,0.1875
3.1e-05,3.6e-05,2.9e-05,2.3e-05,3.2999999999999996e-05,1.4999999999999999e-05,4.8e-05,2.9999999999999997e-05,0.19375
3.7e-05,3.1e-05,3.6e-05,1.8e-05,3.7e-05,7e-06,4.9999999999999996e-05,3.7e-05,0.2
5.4e-05,2.7e-05,4.9e-05,1.8e-05,4.9e-05,1.1e-05,5.9e-05,4.6e-05,0.20625
