ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1779891300.0059707
-37113.909377325705,-37112.61297614729,-37129.0638600664,-37147.90638064222,85227.60393948603,-37135.59056944735,-37183.244488626064,-37192.028724197,1779891300.0228963
-21568.87460575993,11138.790683602178,-14443.004362941309,-22431.473127779143,11237.764208050277,11299.05269134673,11200.07916689863,11219.480481085835,1779891300.025718
-73900.29864314779,-73897.68348904651,-73930.54055339583,-73968.27029803638,169815.3891939389,-73943.59397215772,-74038.74534830396,-74056.31381944583,1779891300.028822
-21570.483931360715,11104.927790752386,-14445.686572275947,-22431.786052201518,11203.856611711575,11265.145095008027,11166.149218815473,11185.550533002679,1779891300.0338094
-73448.4804807282,-73445.91003011585,-73478.56592876505,-73516.40743212789,167438.5717437949,-73492.2004928828,-73586.5695579731,-73604.20508434833,1779891300.0368154
-21567.22057667024,11059.352583808015,-14444.725447264367,-22428.52269751104,11158.236701278294,11219.525184574746,11120.663418848922,11139.975326058307,1779891300.0408645
-73323.02013910057,-73320.44968848821,-73353.23969760415,-73391.19295968926,171320.77918300382,-73365.89078496586,-73461.2880303011,-73478.85650144298,1779891300.0448625
-21563.77840802412,11014.917315830866,-14443.585508297147,-22425.14758409829,11113.980247256786,11175.268730553238,11076.295206105138,11095.696520292346,1779891300.048942
-72789.23812976338,-72786.71238263993,-72819.41298477806,-72857.25448814088,168229.0635382013,-72832.60051400668,-72927.0142825859,-72944.82862291677,1779891300.0530035
-21570.12630344943,10985.07773698303,-14451.185101411951,-22430.243781834102,11084.073613175586,11145.339744727582,11046.455627257303,11065.834589700054,1779891300.0569053
-72555.21536531633,-72552.6225629595,-72585.30081335317,-72623.27642718273,169641.1796976542,-72598.17541815942,-72692.902111161,-72710.62704451407,1779891300.061777
-21564.247794657684,10934.316925325027,-14448.413485099494,-22425.527563754033,11033.37985675095,11094.511877836214,10995.717167343757,11015.051426297598,1779891300.0650008
-72221.36971013185,-72218.82161126395,-72251.56691689098,-72289.564882465,170536.1435456447,-72264.1062455304,-72358.98940074319,-72376.82609281852,1779891300.0690145
-21566.12534119193,10900.9234191088,-14451.229804900862,-22425.885191665315,10999.919295301353,11061.297185575628,10962.323661127528,10981.590864848002,1779891300.0729558
