ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,timestamp
-1901.8652322131672,-1908.9954386944105,-1972.7202621364904,-1954.9953287834323,-15195.833467940509,-16749.637335495634,1545.2431494287432,1555.9496350228353,1780425675.5400665
4365.854485732852,-4081.4285375390696,-2304.93423997572,4690.267704757179,2842.828970292684,5071.409651209075,4897.267210157777,4842.438381008909,1780425675.5440664
-3770.7616413547566,-3787.3466357405946,-3913.3434192351606,-3879.458174640915,-29855.40388290929,-31969.47657698114,3059.9091124426263,3081.65735979764,1780425675.5441327
8627.460435326151,-8270.838352541728,-4590.601276230965,9476.089117060796,5597.077977308986,10234.662620385006,9887.71884294973,9794.824992993474,1780425675.544177
-3768.8393913316,-3785.334978739617,-3911.287058745272,-3877.513572873304,-29853.459281141677,-31967.59903044689,3059.3503188312434,3081.0091592084364,1780425675.5442216
8626.65577252576,-8123.60741181462,-4660.629291609442,9353.84742663472,5675.286731158106,10099.05458677466,9755.731791941142,9639.100389373349,1780425675.5442665
-3769.7111093653575,-3786.27375200674,-3912.337590734672,-3878.541753118248,-29854.86744104236,-31968.738969414117,3058.6350630086736,3080.338606874777,1780425675.5443118
8588.143716829267,-7998.683512053909,-4590.5565727420535,9201.185012004971,5628.996268391164,9964.720602598263,9616.301610028935,9520.658495504678,1780425675.5443566
-3770.225199487829,-3786.743138640301,-3912.829329112688,-3878.8546775406217,-29855.40388290929,-31969.23070779213,3060.780830476383,3082.3502638757545,1780425675.544402
8583.449850493653,-8127.94365023895,-4635.3941721194,9342.93977534053,5601.481270966682,10090.247999459269,9745.74056216962,9647.81756971092,1780425675.5444467
-3770.180495998919,-3786.7207868958462,-3912.7622738793225,-3878.877029285077,-29855.76151082057,-31969.32011476995,3060.51260954292,3082.1267464312014,1780425675.5444918
8528.39750390023,-7907.019008042695,-4629.940346472305,9124.362066312084,5674.102088701974,9878.845200400972,9532.750789254998,9423.741331546466,1780425675.5445368
-3768.593522142592,-3785.1561647839744,-3911.085893045175,-3877.223000195384,-29854.44275789771,-31967.91195486927,3058.903283942137,3080.4280138525983,1780425675.544558
8572.02810907699,-8058.317966260668,-4577.771374913618,9255.276233586816,5573.943921797743,10013.581515977565,9667.330642620402,9581.857571823308,1780425675.5445745
-3770.7616413547566,-3786.9890078293097,-3912.963439579421,-3878.9887880073534,-29856.52147013205,-31969.811853147967,3062.211342121523,3083.758423776439,1780425675.5445907
